Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
1.000000e-06  0.000057  8.999872e-07  1.215005e-12  -119.154221
1.572581e-03  0.090102  1.572452e-03  3.709026e-06  -54.307402
3.144162e-03  0.180147  3.143899e-03  1.482663e-05  -48.289574
4.715743e-03  0.270192  4.715339e-03  3.335272e-05  -44.768688
6.287324e-03  0.360237  6.286768e-03  5.928709e-05  -42.270399
7.858906e-03  0.450282  7.858181e-03  9.262950e-05  -40.332507
9.430487e-03  0.540327  9.429574e-03  1.333796e-04  -38.749106
1.100207e-02  0.630372  1.100094e-02  1.815370e-04  -37.410348
1.257365e-02  0.720417  1.257229e-02  2.371013e-04  -36.250661
1.414523e-02  0.810462  1.414360e-02  3.000718e-04  -35.227748
1.571681e-02  0.900507  1.571488e-02  3.704480e-04  -34.312728
1.728839e-02  0.990552  1.728611e-02  4.482291e-04  -33.484999
1.885997e-02  1.080597  1.885731e-02  5.334145e-04  -32.729352
2.043155e-02  1.170642  2.042846e-02  6.260032e-04  -32.034235
2.200314e-02  1.260687  2.199956e-02  7.259943e-04  -31.390668
2.357472e-02  1.350732  2.357060e-02  8.333869e-04  -30.791533
2.514630e-02  1.440777  2.514159e-02  9.481798e-04  -30.231093
2.671788e-02  1.530822  2.671251e-02  1.070372e-03  -29.704652
2.828946e-02  1.620867  2.828337e-02  1.199962e-03  -29.208324
2.986104e-02  1.710912  2.985416e-02  1.336949e-03  -28.738850
3.143262e-02  1.800957  3.142487e-02  1.481332e-03  -28.293476
3.300420e-02  1.891002  3.299551e-02  1.633108e-03  -27.869850
3.457578e-02  1.981047  3.456607e-02  1.792277e-03  -27.465948
3.614737e-02  2.071091  3.613654e-02  1.958837e-03  -27.080017
3.771895e-02  2.161136  3.770692e-02  2.132786e-03  -26.710526
3.929053e-02  2.251181  3.927721e-02  2.314123e-03  -26.356135
4.086211e-02  2.341226  4.084740e-02  2.502846e-03  -26.015659
4.243369e-02  2.431271  4.241749e-02  2.698952e-03  -25.688048
4.400527e-02  2.521316  4.398747e-02  2.902440e-03  -25.372367
4.557685e-02  2.611361  4.555735e-02  3.113309e-03  -25.067778
4.714843e-02  2.701406  4.712711e-02  3.331555e-03  -24.773530
4.872001e-02  2.791451  4.869676e-02  3.557177e-03  -24.488946
5.029160e-02  2.881496  5.026629e-02  3.790172e-03  -24.213411
5.186318e-02  2.971541  5.183569e-02  4.030539e-03  -23.946369
5.343476e-02  3.061586  5.340497e-02  4.278274e-03  -23.687314
5.500634e-02  3.151631  5.497411e-02  4.533376e-03  -23.435783
5.657792e-02  3.241676  5.654312e-02  4.795842e-03  -23.191352
5.814950e-02  3.331721  5.811199e-02  5.065669e-03  -22.953632
5.972108e-02  3.421766  5.968072e-02  5.342854e-03  -22.722267
6.129266e-02  3.511811  6.124929e-02  5.627396e-03  -22.496926
6.286424e-02  3.601856  6.281772e-02  5.919290e-03  -22.277304
6.443583e-02  3.691901  6.438599e-02  6.218535e-03  -22.063119
6.600741e-02  3.781946  6.595410e-02  6.525126e-03  -21.854111
6.757899e-02  3.871991  6.752205e-02  6.839062e-03  -21.650034
6.915057e-02  3.962036  6.908984e-02  7.160340e-03  -21.450664
7.072215e-02  4.052081  7.065745e-02  7.488955e-03  -21.255788
7.229373e-02  4.142126  7.222489e-02  7.824904e-03  -21.065210
7.386531e-02  4.232171  7.379215e-02  8.168185e-03  -20.878744
7.543689e-02  4.322216  7.535923e-02  8.518794e-03  -20.696219
7.700847e-02  4.412261  7.692612e-02  8.876728e-03  -20.517471
7.858006e-02  4.502306  7.849282e-02  9.241982e-03  -20.342349
8.015164e-02  4.592351  8.005933e-02  9.614554e-03  -20.170709
8.172322e-02  4.682395  8.162564e-02  9.994440e-03  -20.002416
8.329480e-02  4.772440  8.319175e-02  1.038164e-02  -19.837342
8.486638e-02  4.862485  8.475765e-02  1.077614e-02  -19.675369
8.643796e-02  4.952530  8.632334e-02  1.117794e-02  -19.516382
8.800954e-02  5.042575  8.788882e-02  1.158704e-02  -19.360274
8.958112e-02  5.132620  8.945409e-02  1.200344e-02  -19.206943
9.115270e-02  5.222665  9.101913e-02  1.242712e-02  -19.056293
9.272429e-02  5.312710  9.258395e-02  1.285810e-02  -18.908233
9.429587e-02  5.402755  9.414854e-02  1.329635e-02  -18.762675
9.586745e-02  5.492800  9.571290e-02  1.374188e-02  -18.619538
