theta_deg D_times D_dB
0.00 1.260455e+09 91.005272
0.09 5.080838e+02 27.059353
0.18 1.267023e+02 21.027844
0.27 5.614684e+01 17.493253
0.36 3.148646e+01 14.981239
0.45 2.008908e+01 13.029600
0.54 1.390731e+01 11.432431
0.63 1.018564e+01 10.079885
0.72 7.773898e+00 8.906388
0.81 6.123003e+00 7.869645
0.90 4.943986e+00 6.940773
0.99 4.073026e+00 6.099172
1.08 3.411640e+00 5.329631
1.17 2.897744e+00 4.620600
1.26 2.490634e+00 3.963099
1.35 2.162723e+00 3.350009
1.44 1.894782e+00 2.775593
1.53 1.673076e+00 2.235156
1.62 1.487583e+00 1.724811
1.71 1.330853e+00 1.241301
1.80 1.197256e+00 0.781870
1.89 1.082472e+00 0.344167
1.98 9.831432e-01 -0.073832
2.07 8.966272e-01 -0.473881
2.16 8.208224e-01 -0.857508
2.25 7.540400e-01 -1.226056
2.34 6.949109e-01 -1.580709
2.43 6.423155e-01 -1.922516
2.52 5.953312e-01 -2.252414
2.61 5.531924e-01 -2.571238
2.70 5.152594e-01 -2.879741
2.79 4.809943e-01 -3.178600
2.88 4.499426e-01 -3.468429
2.97 4.217175e-01 -3.749784
3.06 3.959888e-01 -4.023171
3.15 3.724728e-01 -4.289054
3.24 3.509252e-01 -4.547855
3.33 3.311339e-01 -4.799964
3.42 3.129149e-01 -5.045737
3.51 2.961076e-01 -5.285505
3.60 2.805710e-01 -5.519572
3.69 2.661816e-01 -5.748220
3.78 2.528302e-01 -5.971711
3.87 2.404203e-01 -6.190288
3.96 2.288665e-01 -6.404178
4.05 2.180926e-01 -6.613591
4.14 2.080308e-01 -6.818724
4.23 1.986203e-01 -7.019763
4.32 1.898069e-01 -7.216880
4.41 1.815417e-01 -7.410236
4.50 1.737807e-01 -7.599985
4.59 1.664842e-01 -7.786270
4.68 1.596164e-01 -7.969224
4.77 1.531448e-01 -8.148976
4.86 1.470400e-01 -8.325646
4.95 1.412750e-01 -8.499347
5.04 1.358255e-01 -8.670185
5.13 1.306693e-01 -8.838264
5.22 1.257860e-01 -9.003678
5.31 1.211569e-01 -9.166519
5.40 1.167650e-01 -9.326875
5.49 1.125945e-01 -9.484827
5.58 1.086312e-01 -9.640453
5.67 1.048618e-01 -9.793829
5.76 1.012739e-01 -9.945025
5.85 9.785637e-02 -10.094109
5.94 9.459876e-02 -10.241146
6.03 9.149141e-02 -10.386197
6.12 8.852539e-02 -10.529322
6.21 8.569242e-02 -10.670576
6.30 8.298481e-02 -10.810014
6.39 8.039541e-02 -10.947687
6.48 7.791758e-02 -11.083646
6.57 7.554512e-02 -11.217936
6.66 7.327226e-02 -11.350604
6.75 7.109362e-02 -11.481693
6.84 6.900418e-02 -11.611246
6.93 6.699923e-02 -11.739302
7.02 6.507438e-02 -11.865900
7.11 6.322550e-02 -11.991077
7.20 6.144875e-02 -12.114869
7.29 5.974051e-02 -12.237311
7.38 5.809737e-02 -12.358435
7.47 5.651615e-02 -12.478274
7.56 5.499385e-02 -12.596858
7.65 5.352766e-02 -12.714218
7.74 5.211491e-02 -12.830380
7.83 5.075309e-02 -12.945375
7.92 4.943987e-02 -13.059227
8.01 4.817300e-02 -13.171963
8.10 4.695040e-02 -13.283607
8.19 4.577006e-02 -13.394185
8.28 4.463013e-02 -13.503718
8.37 4.352883e-02 -13.612230
8.46 4.246448e-02 -13.719742
8.55 4.143549e-02 -13.826276
8.64 4.044035e-02 -13.931851
8.73 3.947764e-02 -14.036488
8.82 3.854601e-02 -14.140205
8.91 3.764418e-02 -14.243022
9.00 3.677091e-02 -14.344956
9.09 3.592506e-02 -14.446025
9.18 3.510553e-02 -14.546245
9.27 3.431126e-02 -14.645633
9.36 3.354127e-02 -14.744206
9.45 3.279460e-02 -14.841977
9.54 3.207035e-02 -14.938963
9.63 3.136766e-02 -15.035179
9.72 3.068572e-02 -15.130637
9.81 3.002374e-02 -15.225352
9.91 2.938097e-02 -15.319338
10.00 2.875671e-02 -15.412607
10.09 2.815028e-02 -15.505173
10.18 2.756103e-02 -15.597046
10.27 2.698833e-02 -15.688240
10.36 2.643160e-02 -15.778766
10.45 2.589026e-02 -15.868635
10.54 2.536379e-02 -15.957859
10.63 2.485165e-02 -16.046448
10.72 2.435335e-02 -16.134412
10.81 2.386842e-02 -16.221763
10.90 2.339641e-02 -16.308509
10.99 2.293686e-02 -16.394660
11.08 2.248937e-02 -16.480226
11.17 2.205354e-02 -16.565217
11.26 2.162898e-02 -16.649640
11.35 2.121531e-02 -16.733505
11.44 2.081220e-02 -16.816821
11.53 2.041928e-02 -16.899595
11.62 2.003625e-02 -16.981836
11.71 1.966278e-02 -17.063551
11.80 1.929857e-02 -17.144749
11.89 1.894333e-02 -17.225437
11.98 1.859678e-02 -17.305622
12.07 1.825866e-02 -17.385312
12.16 1.792870e-02 -17.464513
12.25 1.760665e-02 -17.543233
12.34 1.729228e-02 -17.621477
12.43 1.698536e-02 -17.699253
12.52 1.668566e-02 -17.776567
12.61 1.639296e-02 -17.853426
12.70 1.610707e-02 -17.929834
12.79 1.582778e-02 -18.005799
12.88 1.555491e-02 -18.081326
12.97 1.528826e-02 -18.156420
13.06 1.502765e-02 -18.231088
13.15 1.477293e-02 -18.305335
13.24 1.452391e-02 -18.379165
13.33 1.428044e-02 -18.452585
13.42 1.404236e-02 -18.525599
13.51 1.380952e-02 -18.598213
13.60 1.358179e-02 -18.670431
13.69 1.335901e-02 -18.742257
13.78 1.314106e-02 -18.813697
13.87 1.292779e-02 -18.884756
13.96 1.271910e-02 -18.955436
14.05 1.251485e-02 -19.025744
14.14 1.231492e-02 -19.095683
14.23 1.211921e-02 -19.165257
14.32 1.192760e-02 -19.234471
14.41 1.173998e-02 -19.303328
14.50 1.155625e-02 -19.371832
14.59 1.137631e-02 -19.439987
14.68 1.120006e-02 -19.507798
14.77 1.102741e-02 -19.575266
14.86 1.085826e-02 -19.642397
14.95 1.069253e-02 -19.709194
15.04 1.053014e-02 -19.775659
15.13 1.037099e-02 -19.841797
15.22 1.021501e-02 -19.907610
15.31 1.006213e-02 -19.973103
15.40 9.912251e-03 -20.038277
15.49 9.765317e-03 -20.103136
15.58 9.621252e-03 -20.167684
15.67 9.479987e-03 -20.231923
15.76 9.341453e-03 -20.295855
15.85 9.205587e-03 -20.359485
15.94 9.072325e-03 -20.422814
16.03 8.941605e-03 -20.485845
16.12 8.813367e-03 -20.548582
16.21 8.687553e-03 -20.611025
16.30 8.564107e-03 -20.673179
16.39 8.442973e-03 -20.735046
16.48 8.324099e-03 -20.796627
16.57 8.207434e-03 -20.857926
16.66 8.092925e-03 -20.918945
16.75 7.980525e-03 -20.979686
16.84 7.870185e-03 -21.040150
16.93 7.761860e-03 -21.100342
17.02 7.655505e-03 -21.160262
17.11 7.551075e-03 -21.219912
17.20 7.448528e-03 -21.279295
17.29 7.347823e-03 -21.338413
17.38 7.248918e-03 -21.397268
17.47 7.151776e-03 -21.455861
17.56 7.056356e-03 -21.514195
17.65 6.962623e-03 -21.572271
17.74 6.870540e-03 -21.630091
17.83 6.780072e-03 -21.687657
17.92 6.691184e-03 -21.744971
18.01 6.603842e-03 -21.802033
18.10 6.518014e-03 -21.858847
18.19 6.433669e-03 -21.915413
18.28 6.350774e-03 -21.971733
18.37 6.269301e-03 -22.027809
18.46 6.189219e-03 -22.083642
18.55 6.110499e-03 -22.139233
18.64 6.033114e-03 -22.194584
18.73 5.957037e-03 -22.249697
18.82 5.882240e-03 -22.304572
18.91 5.808698e-03 -22.359212
19.00 5.736386e-03 -22.413616
19.09 5.665278e-03 -22.467788
19.18 5.595351e-03 -22.521727
19.27 5.526581e-03 -22.575435
19.36 5.458945e-03 -22.628913
19.45 5.392421e-03 -22.682162
19.54 5.326986e-03 -22.735184
19.63 5.262620e-03 -22.787980
19.72 5.199302e-03 -22.840550
19.81 5.137011e-03 -22.892895
19.90 5.075727e-03 -22.945018
19.99 5.015431e-03 -22.996917
20.08 4.956104e-03 -23.048596
20.17 4.897728e-03 -23.100053
20.26 4.840284e-03 -23.151291
20.35 4.783755e-03 -23.202311
20.44 4.728123e-03 -23.253112
20.53 4.673372e-03 -23.303696
20.62 4.619485e-03 -23.354064
20.71 4.566447e-03 -23.404216
20.80 4.514240e-03 -23.454154
20.89 4.462850e-03 -23.503877
20.98 4.412262e-03 -23.553387
21.07 4.362461e-03 -23.602684
21.16 4.313433e-03 -23.651769
21.25 4.265164e-03 -23.700643
21.34 4.217639e-03 -23.749306
21.43 4.170846e-03 -23.797759
21.52 4.124771e-03 -23.846002
21.61 4.079401e-03 -23.894036
21.70 4.034725e-03 -23.941861
21.79 3.990728e-03 -23.989478
21.88 3.947400e-03 -24.036888
21.97 3.904729e-03 -24.084091
22.06 3.862703e-03 -24.131087
22.15 3.821310e-03 -24.177877
22.24 3.780540e-03 -24.224461
22.33 3.740382e-03 -24.270840
22.42 3.700826e-03 -24.317014
22.51 3.661860e-03 -24.362983
22.60 3.623475e-03 -24.408748
22.69 3.585660e-03 -24.454308
22.78 3.548407e-03 -24.499666
22.87 3.511705e-03 -24.544819
22.96 3.475546e-03 -24.589770
23.05 3.439919e-03 -24.634518
23.14 3.404816e-03 -24.679063
23.23 3.370229e-03 -24.723406
23.32 3.336148e-03 -24.767547
23.41 3.302565e-03 -24.811486
23.50 3.269473e-03 -24.855223
23.59 3.236862e-03 -24.898758
23.68 3.204725e-03 -24.942092
23.77 3.173054e-03 -24.985225
23.86 3.141842e-03 -25.028156
23.95 3.111081e-03 -25.070887
24.04 3.080764e-03 -25.113416
24.13 3.050883e-03 -25.155744
24.22 3.021432e-03 -25.197872
24.31 2.992403e-03 -25.239799
24.40 2.963791e-03 -25.281525
24.49 2.935587e-03 -25.323050
24.58 2.907786e-03 -25.364375
24.67 2.880382e-03 -25.405499
24.76 2.853368e-03 -25.446422
24.85 2.826738e-03 -25.487145
24.94 2.800486e-03 -25.527666
25.03 2.774606e-03 -25.567987
25.12 2.749092e-03 -25.608107
25.21 2.723939e-03 -25.648027
25.30 2.699141e-03 -25.687745
25.39 2.674692e-03 -25.727262
25.48 2.650588e-03 -25.766578
25.57 2.626823e-03 -25.805693
25.66 2.603391e-03 -25.844606
25.75 2.580288e-03 -25.883318
25.84 2.557509e-03 -25.921828
25.93 2.535049e-03 -25.960136
26.02 2.512903e-03 -25.998242
26.11 2.491067e-03 -26.036147
26.20 2.469535e-03 -26.073848
26.29 2.448303e-03 -26.111348
26.38 2.427368e-03 -26.148644
26.47 2.406723e-03 -26.185738
26.56 2.386366e-03 -26.222629
26.65 2.366292e-03 -26.259317
26.74 2.346497e-03 -26.295801
26.83 2.326976e-03 -26.332081
26.92 2.307726e-03 -26.368157
27.01 2.288743e-03 -26.404029
27.10 2.270023e-03 -26.439697
27.19 2.251563e-03 -26.475159
27.28 2.233358e-03 -26.510417
27.37 2.215404e-03 -26.545470
27.46 2.197700e-03 -26.580317
27.55 2.180240e-03 -26.614958
27.64 2.163021e-03 -26.649393
27.73 2.146040e-03 -26.683622
27.82 2.129294e-03 -26.717644
